area,i,j,cell,bounds,tile,well
1814,232.01157662624036,975.9421168687983,83,"(208, 952, 257, 1001)",1,A2
1607,239.29122588674548,2230.5955196017426,84,"(214, 2210, 265, 2252)",1,A2
1190,234.45378151260505,894.8159663865546,85,"(215, 875, 255, 915)",1,A2
2029,241.13060620995563,1081.198620009857,86,"(216, 1057, 268, 1106)",1,A2
1105,244.7927601809955,663.4162895927602,87,"(224, 643, 265, 683)",1,A2
1183,246.81994928148774,376.6306001690617,88,"(225, 360, 269, 395)",1,A2
768,247.42708333333334,754.5455729166666,89,"(233, 738, 263, 772)",1,A2
1602,258.0780274656679,1298.587390761548,90,"(234, 1278, 283, 1320)",1,A2
857,250.81096849474912,330.99883313885647,91,"(235, 314, 268, 348)",1,A2
1312,257.750762195122,247.328506097561,92,"(236, 229, 280, 266)",1,A2
1254,256.14433811802235,2199.0079744816585,93,"(236, 2178, 275, 2223)",1,A2
1208,263.0745033112583,425.6423841059603,94,"(240, 410, 288, 443)",1,A2
1476,259.04132791327913,1165.888888888889,95,"(241, 1141, 278, 1191)",1,A2
1338,267.1547085201794,601.6457399103139,96,"(242, 585, 293, 619)",1,A2
2021,270.7610094012865,2355.8426521523998,97,"(244, 2332, 299, 2381)",1,A2
1279,272.59343236903834,851.6708365910868,98,"(249, 836, 297, 870)",1,A2
1630,269.1030674846626,120.43435582822086,99,"(250, 94, 288, 148)",1,A2
1324,273.738670694864,1344.6503021148037,100,"(250, 1326, 297, 1364)",1,A2
1562,273.99359795134444,2082.0947503201023,101,"(251, 2060, 298, 2105)",1,A2
2094,280.5940783190067,503.8978032473735,102,"(253, 480, 309, 528)",1,A2
701,275.3138373751783,723.830242510699,103,"(261, 709, 290, 740)",1,A2
1122,282.1951871657754,556.2798573975044,104,"(263, 539, 303, 575)",1,A2
1171,284.95132365499575,806.1844577284372,105,"(263, 788, 308, 824)",1,A2
1154,289.3864818024263,287.5675909878683,106,"(268, 272, 312, 305)",1,A2
1969,295.2691721686135,1625.1386490604368,107,"(271, 1598, 319, 1652)",1,A2
1689,300.42924807578447,212.97631734754293,108,"(277, 190, 325, 237)",1,A2
1569,297.8413001912046,659.7304015296368,109,"(277, 637, 320, 684)",1,A2
1453,300.24913971094287,46.66276668960771,110,"(278, 27, 324, 67)",1,A2
1325,300.42037735849055,933.2588679245283,111,"(279, 916, 323, 953)",1,A2
2004,304.3493013972056,1003.1362275449102,112,"(282, 976, 327, 1032)",1,A2
1756,312.8023917995444,2318.2807517084284,113,"(287, 2296, 340, 2341)",1,A2
1038,310.87861271676303,326.4383429672447,114,"(289, 312, 333, 342)",1,A2
1167,312.1962296486718,889.2022279348757,115,"(293, 870, 333, 908)",1,A2
1460,315.8424657534247,771.2164383561644,116,"(294, 750, 339, 794)",1,A2
1548,318.72416020671835,376.01808785529715,117,"(296, 355, 343, 398)",1,A2
1633,318.04531537048376,1219.022657685242,118,"(296, 1196, 341, 1244)",1,A2
1823,321.7092704333516,140.6335710367526,119,"(300, 115, 345, 168)",1,A2
1676,320.640214797136,2243.985680190931,120,"(300, 2219, 343, 2270)",1,A2
1663,326.28021647624774,2139.4792543595913,121,"(303, 2117, 348, 2164)",1,A2
1741,325.9178632969558,1109.5525560022975,122,"(304, 1083, 348, 1136)",1,A2
1360,320.6713235294118,1359.245588235294,123,"(304, 1335, 338, 1384)",1,A2
1541,328.129785853342,2068.3439325113563,124,"(306, 2049, 352, 2093)",1,A2
1034,327.4119922630561,586.931334622824,125,"(311, 567, 344, 607)",1,A2
1521,336.3701512163051,1439.5963182117027,126,"(315, 1417, 359, 1464)",1,A2
1674,342.1266427718041,449.42712066905614,127,"(317, 427, 367, 473)",1,A2
